V0,V1,V10,V12,V15,V16,V18,V20,V23,V24,V25,V26,V28,V29,V3,V30,V31,V32,V33,V34,V36,V37,V4,V6,V7,V8,target,type
0.5660000000000001,0.016,-0.94,-0.073,0.0,-1.7069999999999999,-0.573,0.61,0.35600000000000004,0.8,-0.223,0.7959999999999999,-0.45,0.136,0.40700000000000003,0.109,-0.615,0.327,-4.627,-4.789,-2.608,-3.508,0.452,-1.8119999999999998,-2.36,-0.436,0.175,train
0.968,0.43700000000000006,0.188,-0.134,0.0,-0.977,-0.5710000000000001,0.588,0.35700000000000004,0.8009999999999999,-0.14400000000000002,1.057,0.6709999999999999,-0.128,0.5660000000000001,0.124,0.032,0.6,-0.843,0.16,-0.335,-0.73,0.19399999999999998,-1.5659999999999998,-2.36,0.332,0.6759999999999999,train
1.013,0.568,0.8740000000000001,-0.07200000000000001,-0.212,-0.618,-0.564,0.5760000000000001,0.355,0.961,-0.067,0.915,1.287,-0.009000000000000001,0.37,0.361,0.27699999999999997,-0.11599999999999999,-0.843,0.16,0.765,-0.589,0.11199999999999999,-1.367,-2.36,0.396,0.633,train
0.733,0.368,0.011000000000000001,-0.013999999999999999,-0.162,-0.429,-0.574,0.272,0.35200000000000004,1.435,0.113,0.898,1.298,0.015,0.165,0.41700000000000004,0.27899999999999997,0.603,-0.843,-0.065,0.33299999999999996,-0.11199999999999999,0.599,-1.2,-2.086,0.40299999999999997,0.20600000000000002,train
0.684,0.638,-0.251,0.19899999999999998,-0.138,-0.391,-0.5720000000000001,0.106,0.35200000000000004,0.8809999999999999,0.221,0.386,1.2890000000000001,0.183,0.209,1.078,0.32799999999999996,0.418,-0.843,-0.215,-0.28,-0.027999999999999997,0.337,-1.073,-2.086,0.314,0.384,train
0.445,0.627,-0.511,0.294,0.111,-0.33299999999999996,-0.573,0.028999999999999998,0.349,0.7979999999999999,0.245,0.643,1.296,0.45399999999999996,0.22,0.674,0.358,0.618,-0.843,-0.29,-0.191,-0.883,0.45799999999999996,-1.0090000000000001,-1.896,0.48100000000000004,0.06,train
0.889,0.41600000000000004,-0.256,0.425,0.111,-0.33299999999999996,-0.586,0.156,0.35200000000000004,0.8009999999999999,0.389,0.5,2.15,0.45399999999999996,0.35600000000000004,0.081,0.243,0.46799999999999997,-0.843,-0.29,-0.155,-1.318,0.22399999999999998,-0.812,-1.8230000000000002,0.7290000000000001,0.415,train
0.9840000000000001,0.529,-0.067,0.272,0.244,0.065,-0.579,0.254,0.366,0.7979999999999999,0.56,0.423,2.153,0.139,0.43799999999999994,-0.05,0.428,-0.11900000000000001,-0.843,-0.29,0.1,-0.899,0.258,-0.682,-1.7209999999999999,0.753,0.609,train
0.948,0.85,0.205,0.387,0.293,0.166,-0.5660000000000001,0.25,0.366,0.7979999999999999,0.5770000000000001,-0.035,0.511,0.188,0.45899999999999996,0.467,0.597,-0.057,-0.843,-0.29,0.053,-0.5529999999999999,0.591,-0.591,-1.524,0.763,0.981,train
1.157,1.055,0.145,0.688,0.317,0.195,-0.5670000000000001,0.263,0.358,-0.612,0.493,-0.172,0.511,0.86,0.617,0.456,0.9159999999999999,0.039,-0.843,-0.29,0.151,-1.157,1.483,-0.612,-1.524,0.968,0.818,train
1.1159999999999999,1.112,0.122,1.083,1.0170000000000001,0.161,-0.575,0.22,0.36700000000000005,-1.3119999999999998,0.317,-0.335,0.042,0.86,0.639,-0.09699999999999999,0.795,-0.452,-0.843,-0.29,-0.054000000000000006,-0.426,0.919,-0.6559999999999999,-1.4180000000000001,0.8909999999999999,0.877,train
1.093,1.12,0.8170000000000001,1.472,1.112,0.282,-0.568,0.17600000000000002,-0.618,-1.3130000000000002,0.267,-0.54,0.743,1.6540000000000001,0.797,0.755,0.903,-0.627,-0.843,-2.315,-0.054000000000000006,0.079,0.953,-0.591,-1.39,1.044,1.077,train
-0.632,-0.9590000000000001,0.025,-0.419,1.5919999999999999,0.293,-0.583,-0.649,-0.619,-1.314,0.055,-0.479,0.18899999999999997,1.8730000000000002,1.194,-0.613,-0.9490000000000001,-0.716,-0.843,-2.315,0.41,1.837,-0.17,-0.779,-1.35,-1.034,-1.099,train
-0.9990000000000001,-1.3430000000000002,-1.6030000000000002,-0.7509999999999999,2.064,-0.929,0.064,-0.72,-0.631,-1.314,-0.161,-0.26,-0.457,1.8730000000000002,1.156,0.023,-1.8030000000000002,-0.512,-0.441,-0.9179999999999999,-0.737,1.314,-0.523,-0.988,-1.463,-1.9480000000000002,-1.656,train
-0.23399999999999999,-0.248,-1.004,0.34,2.064,-1.075,-1.304,-0.519,-1.534,-1.315,-0.27399999999999997,-0.17600000000000002,-0.457,2.002,0.94,-0.132,-0.897,-0.17,-0.862,-1.063,-1.23,0.94,0.174,-1.102,-1.463,-0.987,-0.615,train
-0.898,-1.057,-0.25,-0.247,1.98,-1.261,-1.296,-0.775,-1.537,-1.315,-0.485,-0.262,1.29,1.935,0.94,0.466,-1.5659999999999998,0.264,-0.9,-1.1340000000000001,0.049,1.681,-0.544,-1.245,-1.6340000000000001,-1.784,-1.3659999999999999,train
