V0,V1,V10,V12,V15,V16,V20,V24,V3,V31,V36,V37,V4,V6,V8,target,type
0.5660000000000001,0.016,-0.94,-0.073,0.0,-1.707,0.61,0.8,0.407,-0.615,-2.608,-3.508,0.452,-1.812,-0.436,0.175,train
0.968,0.4370000000000001,0.188,-0.134,0.0,-0.977,0.588,0.8009999999999999,0.5660000000000001,0.032,-0.335,-0.73,0.194,-1.5659999999999998,0.332,0.6759999999999999,train
1.013,0.568,0.8740000000000001,-0.07200000000000001,-0.212,-0.618,0.5760000000000001,0.961,0.37,0.277,0.765,-0.589,0.112,-1.367,0.396,0.633,train
0.733,0.368,0.011,-0.014,-0.162,-0.429,0.272,1.435,0.165,0.279,0.333,-0.112,0.599,-1.2,0.403,0.206,train
0.684,0.638,-0.251,0.199,-0.138,-0.391,0.106,0.8809999999999999,0.209,0.328,-0.28,-0.028,0.337,-1.073,0.314,0.384,train
0.445,0.627,-0.511,0.294,0.111,-0.333,0.029,0.7979999999999999,0.22,0.358,-0.191,-0.883,0.458,-1.009,0.481,0.06,train
0.889,0.416,-0.256,0.425,0.111,-0.333,0.156,0.8009999999999999,0.35600000000000004,0.243,-0.155,-1.318,0.224,-0.812,0.7290000000000001,0.415,train
0.984,0.529,-0.067,0.272,0.244,0.065,0.254,0.7979999999999999,0.438,0.428,0.1,-0.899,0.258,-0.682,0.753,0.609,train
0.948,0.85,0.205,0.387,0.293,0.166,0.25,0.7979999999999999,0.459,0.597,0.053,-0.5529999999999999,0.591,-0.591,0.763,0.981,train
1.157,1.055,0.145,0.688,0.317,0.195,0.263,-0.612,0.617,0.916,0.151,-1.157,1.483,-0.612,0.968,0.818,train
1.116,1.112,0.122,1.083,1.017,0.161,0.22,-1.3119999999999998,0.639,0.795,-0.054000000000000006,-0.426,0.919,-0.6559999999999999,0.8909999999999999,0.877,train
1.093,1.12,0.8170000000000001,1.472,1.112,0.282,0.17600000000000002,-1.3130000000000002,0.797,0.903,-0.054000000000000006,0.079,0.953,-0.591,1.044,1.077,train
-0.632,-0.959,0.025,-0.419,1.592,0.293,-0.649,-1.314,1.194,-0.949,0.41,1.837,-0.17,-0.779,-1.034,-1.099,train
-0.999,-1.3430000000000002,-1.6030000000000002,-0.7509999999999999,2.064,-0.929,-0.72,-1.314,1.156,-1.803,-0.737,1.314,-0.523,-0.988,-1.948,-1.656,train
-0.234,-0.248,-1.004,0.34,2.064,-1.075,-0.519,-1.315,0.94,-0.897,-1.23,0.94,0.174,-1.102,-0.987,-0.615,train
-0.898,-1.057,-0.25,-0.247,1.98,-1.261,-0.775,-1.315,0.94,-1.5659999999999998,0.049,1.681,-0.544,-1.245,-1.784,-1.366,train
-0.403,-0.486,-0.732,0.35700000000000004,1.626,-1.463,-0.483,-1.319,0.951,-1.133,-1.411,0.747,-0.294,-1.29,-1.105,-0.345,train
